Convˆnio / Cod. Benefici rio ;Empresa;Agˆncia/Conta Centralizadora;;;;;;
003247120ÿ/ÿ02008715403;GLOBAL WEB MASTER LTDA EPP;3200.13-000456-0;;;;;;
;;;;;;;;
Conta Cobran‡a:;Tipo Cobran‡a / Modalidade:;Selecione:;;;;;;
Todas;RCR -RAPIDA COM REGISTRO;Liquidados;;;;;;
Data Inicial:;Data Final:;ÿÿ;;;;;;
25/07/2018;01/08/2018;;;;;;;
;;;;;;;;
Seu N£mero;Nosso N£mero;Vencimento;Data da Liquida‡Æo;Valor do T¡tulo (R$);Valor Cobrado (R$);Oscila‡Æo (R$);Pagador;Conta Cobran‡a
9974;0000000099740;25/06/18;27/07/18;550,00;550,00;0,00;Sipra Tratamento de Superf cie Ltda;000130004560
10012;0000000100129;25/07/18;25/07/18;1.840,00;1.840,00;0,00;NETW TELECOMUNICAìíES LTDA - EPP;000130004560
10021;0000000100218;30/07/18;31/07/18;600,00;612,19;12,19;COPAJ INDUSTRIA METALURGICA LTDA;000130004560
10027;0000000100277;30/07/18;30/07/18;780,00;780,00;0,00;Danfer Ind. Mec. de pe as para Maq e Equ;000130004560
10045;0000000100455;30/07/18;30/07/18;990,00;990,00;0,00;HEATMEC INDUSTRIA METAL¾RGICA LTDA;000130004560
10069;0000000100692;30/07/18;30/07/18;1.260,00;1.260,00;0,00;Industria Metal rgica Max-del ltda;000130004560
10121;0000000101214;30/07/18;30/07/18;450,00;450,00;0,00;CFCA TRANSITAR CENTRO DE FORM. DE CONDUT;000130004560
