Convˆnio / Cod. Benefici rio ;Empresa;Agˆncia/Conta Centralizadora;;;;;;
003247120ÿ/ÿ02008715403;GLOBAL WEB MASTER LTDA EPP;3200.13-000456-0;;;;;;
;;;;;;;;
Conta Cobran‡a:;Tipo Cobran‡a / Modalidade:;Selecione:;;;;;;
Todas;RCR -RAPIDA COM REGISTRO;Liquidados;;;;;;
Data Inicial:;Data Final:;ÿÿ;;;;;;
25/07/2018;01/08/2018;;;;;;;
;;;;;;;;
Seu N£mero;Nosso N£mero;Vencimento;Data da Liquida‡Æo;Valor do T¡tulo (R$);Valor Cobrado (R$);Oscila‡Æo (R$);Pagador;Conta Cobran‡a
9974;99740;25/06/2018;27/07/2018;550;550;0;Sipra Tratamento de Superf cie Ltda;130004560
10012;100129;25/07/2018;25/07/2018;1.840,00;1.840,00;0;NETW TELECOMUNICAìíES LTDA - EPP;130004560
10021;100218;30/07/2018;31/07/2018;600;612,19;12,19;COPAJ INDUSTRIA METALURGICA LTDA;130004560
10027;100277;30/07/2018;30/07/2018;780;780;0;Danfer Ind. Mec. de pe as para Maq e Equ;130004560
10045;100455;30/07/2018;30/07/2018;990;990;0;HEATMEC INDUSTRIA METAL¾RGICA LTDA;130004560
10069;100692;30/07/2018;30/07/2018;1.260,00;1.260,00;0;Industria Metal rgica Max-del ltda;130004560
10121;101214;30/07/2018;30/07/2018;450;450;0;CFCA TRANSITAR CENTRO DE FORM. DE CONDUT;130004560
10126;10129;02/08/2018;02/08/2018;850;863,5;13,5;2AJ;130004560
10127;10128;02/08/2018;02/08/2018;350;350;0;ACDCHAPAS;130004560
10127;10127;02/08/2018;02/08/2018;335;338,52;3,52;ACIBENOX;130004560
10126;10126;02/08/2018;02/08/2018;400;400;0;ADEGAALENTEJANA;130004560
